id,timestamp,sensor_id,temperature,humidity
1,2025-01-01 00:00,S1,25.8,41.3
2,2025-01-01 01:00,S2,18.5,51.2
3,2025-01-01 02:00,S3,27.7,73.8
4,2025-01-01 03:00,S4,30.8,44.3
5,2025-01-01 04:00,S5,21.4,41.5
6,2025-01-01 05:00,S1,17.4,65.3
7,2025-01-01 06:00,S2,13.5,49.9
8,2025-01-01 07:00,S3,26.0,67.2
9,2025-01-01 08:00,S4,17.4,69.5
10,2025-01-01 09:00,S5,29.2,40.3
11,2025-01-01 10:00,S1,29.1,74.9
12,2025-01-01 11:00,S2,19.8,47.8
13,2025-01-01 12:00,S3,32.1,56.8
14,2025-01-01 13:00,S4,14.9,44.8
15,2025-01-01 14:00,S5,29.9,70.2
16,2025-01-01 15:00,S1,29.1,76.5
17,2025-01-01 16:00,S2,23.7,88.7
18,2025-01-01 17:00,S3,20.6,67.6
19,2025-01-01 18:00,S4,29.6,70.9
20,2025-01-01 19:00,S5,30.2,68.9
21,2025-01-01 20:00,S1,27.1,42.3
22,2025-01-01 21:00,S2,17.6,54.5
23,2025-01-01 22:00,S3,14.6,51.6
24,2025-01-01 23:00,S4,15.0,53.9
25,2025-01-02 00:00,S5,25.7,58.2
26,2025-01-02 01:00,S1,20.4,50.5
27,2025-01-02 02:00,S2,18.3,86.8
28,2025-01-02 03:00,S3,26.0,70.5
29,2025-01-02 04:00,S4,16.4,76.5
30,2025-01-02 05:00,S5,16.3,59.0
31,2025-01-02 06:00,S1,32.8,72.0
32,2025-01-02 07:00,S2,24.1,74.2
33,2025-01-02 08:00,S3,29.9,78.8
34,2025-01-02 09:00,S4,17.6,41.6
35,2025-01-02 10:00,S5,19.3,53.4
36,2025-01-02 11:00,S1,17.2,87.1
37,2025-01-02 12:00,S2,30.5,55.7
38,2025-01-02 13:00,S3,26.1,59.8
39,2025-01-02 14:00,S4,31.3,62.9
40,2025-01-02 15:00,S5,18.3,52.3
41,2025-01-02 16:00,S1,24.2,53.1
42,2025-01-02 17:00,S2,24.7,84.9
43,2025-01-02 18:00,S3,21.0,51.0
44,2025-01-02 19:00,S4,33.0,65.5
45,2025-01-02 20:00,S5,14.8,42.4
46,2025-01-02 21:00,S1,15.2,71.4
47,2025-01-02 22:00,S2,28.8,61.1
48,2025-01-02 23:00,S3,14.3,59.1
49,2025-01-03 00:00,S4,32.9,66.5
50,2025-01-03 01:00,S5,32.4,83.0
51,2025-01-03 02:00,S1,13.2,76.0
52,2025-01-03 03:00,S2,26.6,66.8
53,2025-01-03 04:00,S3,18.3,72.0
54,2025-01-03 05:00,S4,15.2,61.7
55,2025-01-03 06:00,S5,22.1,87.7
56,2025-01-03 07:00,S1,30.5,53.2
57,2025-01-03 08:00,S2,23.0,48.9
58,2025-01-03 09:00,S3,31.3,83.5
59,2025-01-03 10:00,S4,19.0,71.9
60,2025-01-03 11:00,S5,25.2,47.6
61,2025-01-03 12:00,S1,28.3,67.0
62,2025-01-03 13:00,S2,28.6,66.5
63,2025-01-03 14:00,S3,13.0,56.2
64,2025-01-03 15:00,S4,13.4,86.5
65,2025-01-03 16:00,S5,30.6,81.6
66,2025-01-03 17:00,S1,19.2,42.9
67,2025-01-03 18:00,S2,30.6,87.3
68,2025-01-03 19:00,S3,14.7,64.3
69,2025-01-03 20:00,S4,14.4,78.0
70,2025-01-03 21:00,S5,28.3,46.4
71,2025-01-03 22:00,S1,22.5,67.5
72,2025-01-03 23:00,S2,18.3,83.6
73,2025-01-04 00:00,S3,21.5,50.6
74,2025-01-04 01:00,S4,23.8,76.5
75,2025-01-04 02:00,S5,17.0,55.6
76,2025-01-04 03:00,S1,32.9,72.5
77,2025-01-04 04:00,S2,21.8,65.9
78,2025-01-04 05:00,S3,15.4,51.2
79,2025-01-04 06:00,S4,19.8,69.4
80,2025-01-04 07:00,S5,17.6,51.0
81,2025-01-04 08:00,S1,14.4,71.6
82,2025-01-04 09:00,S2,17.6,85.3
83,2025-01-04 10:00,S3,30.2,43.5
84,2025-01-04 11:00,S4,17.8,73.4
85,2025-01-04 12:00,S5,17.3,46.6
86,2025-01-04 13:00,S1,31.7,68.6
87,2025-01-04 14:00,S2,22.5,79.2
88,2025-01-04 15:00,S3,29.1,49.5
89,2025-01-04 16:00,S4,14.9,61.6
90,2025-01-04 17:00,S5,21.5,63.4
91,2025-01-04 18:00,S1,27.6,73.7
92,2025-01-04 19:00,S2,32.7,44.9
93,2025-01-04 20:00,S3,21.1,57.0
94,2025-01-04 21:00,S4,30.2,52.4
95,2025-01-04 22:00,S5,16.8,62.4
96,2025-01-04 23:00,S1,21.4,53.9
97,2025-01-05 00:00,S2,18.0,86.2
98,2025-01-05 01:00,S3,21.9,83.1
99,2025-01-05 02:00,S4,24.0,42.5
100,2025-01-05 03:00,S5,33.0,81.8
101,2025-01-05 04:00,S1,32.4,86.3
102,2025-01-05 05:00,S2,30.0,48.3
103,2025-01-05 06:00,S3,22.7,50.7
104,2025-01-05 07:00,S4,21.0,42.9
105,2025-01-05 08:00,S5,20.6,89.3
106,2025-01-05 09:00,S1,18.3,79.2
107,2025-01-05 10:00,S2,22.1,61.2
108,2025-01-05 11:00,S3,32.1,89.8
109,2025-01-05 12:00,S4,24.1,75.9
110,2025-01-05 13:00,S5,16.1,54.8
111,2025-01-05 14:00,S1,32.4,69.0
112,2025-01-05 15:00,S2,23.8,77.4
113,2025-01-05 16:00,S3,14.1,69.2
114,2025-01-05 17:00,S4,23.1,82.6
115,2025-01-05 18:00,S5,16.1,88.0
116,2025-01-05 19:00,S1,14.6,49.3
117,2025-01-05 20:00,S2,24.9,73.8
118,2025-01-05 21:00,S3,17.7,46.0
119,2025-01-05 22:00,S4,30.8,52.3
120,2025-01-05 23:00,S5,24.9,71.0
121,2025-01-06 00:00,S1,21.4,69.2
122,2025-01-06 01:00,S2,23.5,86.7
123,2025-01-06 02:00,S3,17.1,75.8
124,2025-01-06 03:00,S4,17.8,59.8
125,2025-01-06 04:00,S5,26.4,55.0
126,2025-01-06 05:00,S1,19.3,77.6
127,2025-01-06 06:00,S2,14.5,62.9
128,2025-01-06 07:00,S3,33.0,89.8
129,2025-01-06 08:00,S4,14.5,50.7
130,2025-01-06 09:00,S5,18.3,86.7
131,2025-01-06 10:00,S1,30.6,84.0
132,2025-01-06 11:00,S2,20.4,47.9
133,2025-01-06 12:00,S3,29.7,75.2
134,2025-01-06 13:00,S4,25.2,89.4
135,2025-01-06 14:00,S5,26.1,40.4
136,2025-01-06 15:00,S1,29.3,55.0
137,2025-01-06 16:00,S2,26.3,86.9
138,2025-01-06 17:00,S3,15.7,45.8
139,2025-01-06 18:00,S4,15.1,67.7
140,2025-01-06 19:00,S5,18.4,70.2
141,2025-01-06 20:00,S1,27.4,50.2
142,2025-01-06 21:00,S2,25.7,53.2
143,2025-01-06 22:00,S3,22.8,85.3
144,2025-01-06 23:00,S4,29.9,44.6
145,2025-01-07 00:00,S5,21.5,53.8
146,2025-01-07 01:00,S1,13.1,78.6
147,2025-01-07 02:00,S2,25.7,53.1
148,2025-01-07 03:00,S3,27.8,67.6
149,2025-01-07 04:00,S4,21.6,40.5
150,2025-01-07 05:00,S5,14.5,84.2
